item_id,incubator,location,industry,description
110,NEXT 36,Toronto,Tech,"Next 36 is a program that accelerates the growth of Canada’s most talented young entrepreneurs by providing mentorship, capital, and unparalleled founder development."
111,NEXT AI,Toronto,Tech,"NextAI is a global innovation hub for artificial intelligence related venture creation and technology commercialization. We identify talented teams and individuals with ambitious ideas and leverage Canada’s leadership position in AI to provide them with the capital, mentorship, education and network to disrupt industries."
112,OneEleven,Toronto,Tech,"Oneeleven is an accelerator community of data-driven entrepreneurs. It offers a network of venture capital, industry, academia and government, and focus on bridging the gap between research and commercialization; supporting the development of solutions to highly complex data problems."
113,RBC Reach,Toronto,Tech,"Delivered in partnership with Highline BETA, RBC Reach is an accelerator program to help high-impact startups grow while adding value to RBC’s business and consumer clients in new and innovative ways."
114,Spark Innovations,Toronto,Tech,"Spark Innovations is an award-winning industrial design company specializing in the development of innovative products and inventions. Since our founding in 1989, Spark Innovation’s professional team of industrial designers and mechanical engineers has taken thousands of products from the early stages of an idea to the mass market."
115,The Big Push,Toronto,Tech,The Big Push is a 4-6 month equity-for-service program that identifies the business challenges of your startup and puts together an in-depth project roadmap and scheduling of talent to help execute on your goals.
116,University of Toronto - Health Innovation Hub (H2i),Toronto,Tech,"To Enable, Collaborate, Educate, and Facilitate student initiated commercialization of Health Matters"
117,University of Toronto - Impact Centre,Toronto,Tech,"The Impact Centre strives to bring science to society. The Impact Centre is a place to connect with exceptional research, talent, innovative companies, and government to create products and services that benefit society."
118,University of Toronto - Techno,Toronto,Science and engineering,"Techno is an elite program for scientists and engineers who want to create technology-based companies. Starting only with scientific expertise, these entrepreneurs are guided by experts to learn by doing, building their companies in the process. Techno is about actual company creation. It has led to more than 60 new start-up companies in the physical sciences’ sector, aimed at giving us a better quality of life"
119,VICC,Toronto,Tech,"The VICC is a progressive economic development initiative led by the City of Vaughan in partnership with local and international companies, institutions, and not-for-profit organizations. VICC programs and services support established businesses with the localization of technologies to commercialize new, innovative products here and abroad."
120,Cookhouse Labs,Toronto,Insurance,"Cookhouse Lab gives insurers the creative place to think out of the box, invent and shape the future of insurance. It is a test kitchen in which insurers collaborate with each other and combine organizational knowledge with other ‘ingredients’ such as innovation experts, legal counsel, designers and entrepreneurs to create the customer experience of tomorrow."
121,Driven Accelerator Group,Toronto,Tech,"DRIVEN Accelerator Group is a non-profit social enterprise created to improve the socio-economic status of women, people of colour, youth and highly skilled newcomers through innovative technology based programming.  DRIVEN Accelerator Group develops programming that trains and supports individuals that are committed to building transformative technology services and products."
122,Free,Toronto,Tech,"A Creator Studio for the modern creative entrepreneur – we call them #TheCreatorClass. Join our global community of photographers, filmmakers and cultural leaders to benefit from: Community Collaboration Commercial Opportunities Our Cultural Hub Our Production Studio"
123,Google for Entrepreneurs,Toronto,Tech,"The Google for Entrepreneurs program is a six month incubator the offers work space in the Google area of the Communitech Hub, as well as access to Google services, mentorship and and discounted Google products."
124,iBoost Zone,Toronto,Tech,"We offer a high touch environment, focusing on key milestones to drive your startup forward. We don’t take equity, charge rent, or have any high pressure deadlines for achieving funding through demo days. iBoost Zone is a collaborative environment with a vast network of technical, business, and investor resources, globally."
125,Ontario Centres of Excellence (OCE),Toronto,Tech,"Ontario Centres of Excellence (OCE) is a provincial program that offers a comprehensive program suite for all the stages of business development and career advancement. In partnership with industry, OCE co-invests to commercialize innovation originating in the province’s publicly funded colleges, universities and research hospitals. It also supports and invests in early-stage projects, where the probability of commercial success and potential total return on innovation are substantial. Another expanding focus for OCE is the development of the next generation of innovators through our entrepreneurship fellowships and programs for students and youth across Ontario. OCE is focused on sectors of the economy with the greatest potential to drive Ontario’s future prosperity and global competitiveness: energy and environment (including water); advanced manufacturing; advanced health technologies; and information, communications technologies and digital media."
126,Ryerson University - Startmeup Ryerson,Toronto,Tech,"Startmeup Ryerson provides a supportive and structured process to meet the needs of students and alumni from all disciplines and all all stages of a business idea or venture.  The StartMeUp process is managed by Students in Free Enterprise (SIFE) and strongly supported by faculty, university administration, sector experts, community activists, and other partners. All appropriate participants are given a customized development program as well as access to various funding sources."
127,Toronto Business Development Centre (TBDC),Toronto,Tech,"Toronto Business Development Centre (TBDC) supports the growth of new and emerging businesses by providing access to a range of key resources such as business advisory support, flexible office space, and participation in a community of successful entrepreneurs. Established in 1990 by the City of Toronto with support of the province of Ontarioâ€™s Ministry of Economic Development of Trade, TBDC has been acclaimed as one of the countryâ€™s leading business incubators in areas such as number of client businesses served, number of jobs created and revenues generated by client businesses."
