item_id,event,date,location,description
112,The 21st Century Company: How it Creates Value and for Whom,1/2/2025,"New York, NY","Discover unique approaches to exploiting the internal and external drivers that will reset stakeholder expectations, shareholder engagements, and the successful creation of long-term value while engaging with governance, risk, sustainability, innovation, strategy, and corporate responsibility executives to identify tomorrow’s change agents and how to profit from their power to drive company value."
113,Annual Mining Conference,3/29/2025,Newfoundland,"An excellent opportunity for businesses, government, the mining/geological industry and investment communities to meet."
114,GreenBiz | GreenBiz24: The premier annual event for sustainable business leaders ,4/25/2025,"Phoenix, AZ","Join the premier gathering of sustainable business leaders. Harness the knowledge of experts, peers and new voices to help you achieve net zero, advance the circular economy, elevate social justice, safeguard biodiversity, build resilient supply chains and more.  "
115,BloombergNEF Summits,2025-02-29,"San Fransicisco, CA","Where transport, energy and technology converge:The BNEF Summit provides the ideas, insights and connections to formulate successful strategies, capitalize on technological change and shape a cleaner, more competitive future."
116,GreenBiz | Bloom: Where Biodiversity Meets the Bottom Line,3/7/2025,"San Jose, CA","The leading event for professionals advancing strategies to protect and regenerate nature. While climate change has been front and center for today’s business world, an equally existential crisis is confronting the global economy: the accelerating loss of biodiversity and ecosystems. Increasingly, business leaders and policymakers are recognizing that the two crises are inextricably linked — that solving each requires solving both — and they are moving to take decisive action."
117,GreenBiz | Accelerating the Circular Economy,1/4/2025,"Seattle, WA","As the leading convening of professionals building the circular economy, Circularity 23 will bring together thought leaders and practitioners across industries and value chains and offers thought-provoking keynotes, actionable breakouts, a solutions-oriented expo and unparalleled networking opportunities."
118,ESG Impact: Against the Backdrop of Geopolitics,3/31/2025,"Stockholm, Sweden","Discover emerging methodologies from Nordic and regional ESG innovators, in assessing and presenting ESG performance to the capital markets while engaging with asset owners, institutional investors, and companies from the Nordics, the UK and the EU, including ESG practices and capital markets experts, on how to leverage favorable consideration in the capital markets from sustainable ESG practices."
119,GLOBExCHANGE,1/3/2025,"Toronto, ON","Join Canada’s premier community of climate and sustainability leaders to accelerate our progress in the themes and outcomes of GLOBE Forum 2022, primarily The Path to Net Zero: 10×10 Matrix, and make the connections you need to succeed in a net-zero future."
120,International Conference on Biofuels and Bioenergy,2/12/2025,"Toronto, ON","International Conference on Biofuels, Bioenergy and Bioeconomy is a platform that gathers global speakers and delegates to share their research and further provide them various profile upgradation programs."
121,The Critical Minerals Institute Summit,4/30/2025,"Toronto, ON","This year's CMI Summit is themed Under Pressure: the Critical Minerals Industry Addresses EV 2030 Demand. The Critical Mineral Institute (CMI) is an international organization for companies and professionals focused on battery materials, technology metals, defense metals, ESG technologies and practices, the general EV market, and the use of critical minerals for energy and alternative energy production."
122,GreenBiz | Electrify: Driving Decarbonization,3/28/2025,Vurtual Only,"Driving Decarbonization: A collaborative event to deepen connections between leaders decarbonizing and electrifying fleets. Interact with the transport electrification community through exclusive small-group discussions, live broadcasts from innovative facilities and case study sessions that get you up to speed on emerging trends and best practices. "
123,GreenBiz | Net Zero,1/15/2025,Vurtual Only,"Accelerating the net-zero transition: An event equipping participants with utting-edge strategies proven to dramatically cut greenhouse gas emissions. Mobilize your organization's net-zero transition through small-group discussions, solution-forward workshops and illuminating keynotes "
124,Ceres | LEAD on a Clean Economy,3/19/2025,"Washington, D.C.","Bringing together participants in person and virtually to call on the U.S. Congress and the Biden administration to invest in America and accelerate the just transition to an advanced, clean economy. "
125,PowerSurge: Innovations in Energy Security,4/15/2025,"Washington, DC","Discover how energy companies, and large corporate consumers/suppliers of energy are seeking technologies needed to create a secure global energy supply chain, while engaging with public company executives, energy company leadership and supply chain experts on best practices in securing the flow of energy as geopolitical risks drive new players into the global energy market."
126,EV & Charging Expo ,1/14/2025,"Toronto, ON",Test drive and discover the latest commercial electric vehicles and charging solutions. Learn from experts in tailored work sessions. And discover suppliers who can help with your organization’s EV transformation. 
127,Impact Seminar Series,2/3/2025,Montréal,"InvestorConnect sessions offer institutional asset owners an efficient way to discover a pre-screened group of scalable impact strategies of institutional quality, across multiple asset classes, impact themes and the SDGs. The dynamic system of 15-minute meetings set a comfortable space to ask relevant questions & create connections along the way."
128,International Conference on Renewable Energy and Resources,4/11/2025,"London, UK","Renewable Energy 2023 has been designed with a twin objective in mind. The main theme of the conference is ""Exploring the Innovative Research at Interface of Renewable energy” that covers a wide range of critically energetic sessions. The event aims at bringing the advancement in the field of Renewable Energy, Environmental Science, Geothermal Energy and Green Technologies and also lays a special emphasis at educating and informing environmental researchers, trade professionals with the newest information of technologies might be applied to counter the economic under-evaluation ecologist may face in their practice. With members from round the world targeted on learning concerning Renewable Energy, this is your single best opportunity to reach the largest assemblage of participants from various communities, conduct demonstrations, distribute info, meet with current and potential speakers and receive recognition at this 2-day event."
129,Enverus Evolve Conference | Learning & Innovation in Energy,3/14/2025,Vurtual Only,"Only at EVOLVE can you gain exclusive access to the Enverus analyst team that sits at the center of Wall Street and energy producers, learn about the latest technologies driving efficiencies across the energy space and gain new knowledge to help you solve your biggest problems in renewables and oil and gas. "
130,BCEIA | Annual BEST Conference,2/15/2025,"Whistler, BC","The British Columbia Environment Industry Association’s annual Bettering Environmental Stewardship & Technology Conference attracts environmental professionals every May for two days of technical sessions, networking opportunities, and a sponsor exhibition. Conference registration includes: welcoming reception, two days of programming, off-site networking reception, and all meals and coffee breaks."
131,US Offshore Wind,3/8/2025,"Boston, MA","By uniting the most influential players, we can alleviate regulatory pressures, reinvent cost strategies, and unleash project buildout. The time is now – seize the biggest era of offshore wind and capitalize on 1000GW of untapped project pipeline at Reuters Events: US Offshore Wind 2023."
132,CanREA Operations Summit ,4/13/2025,"Calgary, AB","Live and in-person in Calgary, this two-day event features expert speakers, innovative forums and specialized sessions addressing highly technical operations topics and complex human factors. Take part in the nuts and bolts of Canada’s energy transition at Canada’s largest wind, solar and energy storage operations event!"
133,REN | International Conference on Renewable Energy,1/20/2025,"Paris, France","REN 2023 aims to provide a platform for scientists and engineers worldwide to exchange, disseminate new ideas, technological developments and is a solutions-driven forum that will discuss the development of new technologies to overcome these technical challenges. This conference will cover all areas of innovative renewable energy technologies, exploitation of renewable sources, and renewable energy systems. It serves as a platform for showcasing the most recent developments in Renewable Energy industry."
134,GITEX IMPACT ,3/4/2025,"Dubai, UAE",Showcasing the world's most innovative companies in sustainability
135,Rethinking Materials | Annual Innovation & Investment Summit,2/22/2025,"London, UK","Early-stage innovation is an integral part of the summit, from start-ups connecting with global brands, converters, technology developers, manufacturers, producers and investors, to consumer product and packaging leaders searching for next generation solutions. With a focus on materials innovation mitigating carbon emissions from textiles, packaging or durable goods industries, we’ll explore the technologies and material alternatives reducing our reliance on ‘incumbents’ such as petrochemical, virgin forest, and animal-based materials. The summit will examine barriers to the adoption and scale up of new materials, highlighting opportunities for greater collaboration and advancement across value chains."
136,Startup Grind Global Conference & Annual Pitch Competition ,1/8/2025,California,"This annual conference gathers together startup building the next big thing. This event is for you if you are: on a startup team, working with startups, or investing in startups. "
